date,room_type,season,available_rooms,booked_rooms,occupancy_rate,avg_daily_rate,revenue,day_type
2025-01-13,suite,low,20,11,0.6,226.54,2491.99,weekday
2025-01-14,standard,low,80,63,0.79,87.07,5485.66,weekday
2025-01-14,deluxe,low,40,34,0.86,144.2,4902.94,weekday
2025-01-14,suite,low,20,15,0.79,239.24,3588.56,weekday
2025-01-15,standard,low,80,60,0.75,86.11,5166.72,weekday
2025-01-15,deluxe,low,40,29,0.73,139.0,4031.13,weekday
2025-01-15,suite,low,20,11,0.58,225.27,2477.99,weekday
2025-01-16,standard,low,80,54,0.68,84.25,4549.63,weekday
2025-01-16,deluxe,low,40,28,0.71,138.21,3869.78,weekday
2025-01-16,suite,low,20,18,0.91,246.74,4441.23,weekday
2025-01-17,standard,low,80,65,0.81,87.53,5689.17,weekday
2025-01-17,deluxe,low,40,21,0.54,131.69,2765.54,weekday
2025-01-17,suite,low,20,16,0.81,240.53,3848.48,weekday
2025-01-18,standard,low,80,75,0.95,90.74,6805.53,weekend
2025-01-18,deluxe,low,40,35,0.9,145.53,5093.64,weekend
2025-01-18,suite,low,20,20,1.0,253.0,5060.0,weekend
2025-01-19,standard,low,80,80,1.0,92.0,7360.0,weekend
2025-01-19,deluxe,low,40,40,1.0,149.5,5980.0,weekend
2025-01-19,suite,low,20,17,0.87,244.48,4156.13,weekend
2025-01-20,standard,low,80,58,0.73,85.52,4959.94,weekday
2025-01-20,deluxe,low,40,32,0.81,142.17,4549.36,weekday
2025-01-20,suite,low,20,17,0.89,246.04,4182.76,weekday
2025-01-21,standard,low,80,56,0.71,84.99,4759.61,weekday
2025-01-21,deluxe,low,40,29,0.75,139.58,4047.87,weekday
2025-01-21,suite,low,20,12,0.63,228.42,2741.07,weekday
2025-01-22,standard,low,80,49,0.62,82.79,4056.52,weekday
2025-01-22,deluxe,low,40,34,0.87,144.57,4915.53,weekday
2025-01-22,suite,low,20,18,0.94,249.27,4486.8,weekday
2025-01-23,standard,low,80,60,0.76,86.25,5174.78,weekday
2025-01-23,deluxe,low,40,35,0.9,145.53,5093.55,weekday
2025-01-23,suite,low,20,16,0.82,240.85,3853.57,weekday
2025-01-24,standard,low,80,54,0.69,84.48,4562.05,weekday
2025-01-24,deluxe,low,40,32,0.82,142.32,4554.18,weekday
2025-01-24,suite,low,20,19,0.97,250.81,4765.31,weekday
2025-01-25,standard,low,80,80,1.0,92.0,7360.0,weekend
2025-01-25,deluxe,low,40,40,1.0,149.5,5980.0,weekend
2025-01-25,suite,low,20,11,0.57,224.65,2471.12,weekend
2025-01-26,standard,low,80,80,1.0,92.0,7360.0,weekend
2025-01-26,deluxe,low,40,40,1.0,149.5,5980.0,weekend
2025-01-26,suite,low,20,19,0.96,250.49,4759.4,weekend
2025-01-27,standard,low,80,62,0.78,86.75,5378.53,weekday
2025-01-27,deluxe,low,40,20,0.51,130.57,2611.38,weekday
2025-01-27,suite,low,20,14,0.74,235.93,3302.99,weekday
2025-01-28,standard,low,80,65,0.82,87.57,5691.87,weekday
2025-01-28,deluxe,low,40,38,0.96,147.9,5620.3,weekday
2025-01-28,suite,low,20,14,0.7,233.4,3267.6,weekday
2025-01-29,standard,low,80,53,0.67,83.98,4450.91,weekday
2025-01-29,deluxe,low,40,28,0.71,138.0,3864.02,weekday
2025-01-29,suite,low,20,17,0.89,245.54,4174.1,weekday
2025-01-30,standard,low,80,64,0.81,87.48,5598.71,weekday
2025-01-30,deluxe,low,40,28,0.7,137.86,3860.1,weekday
2025-01-30,suite,low,20,16,0.84,242.13,3874.1,weekday
2025-01-31,standard,low,80,62,0.78,86.77,5379.54,weekday
2025-01-31,deluxe,low,40,35,0.89,145.36,5087.44,weekday
2025-01-31,suite,low,20,13,0.68,231.84,3013.98,weekday
2025-02-01,standard,low,80,76,0.96,90.97,6913.95,weekend
2025-02-01,deluxe,low,40,37,0.95,147.41,5454.06,weekend
2025-02-01,suite,low,20,15,0.77,237.53,3562.88,weekend
2025-02-02,standard,low,80,80,1.0,92.0,7360.0,weekend
2025-02-02,deluxe,low,40,40,1.0,149.5,5980.0,weekend
2025-02-02,suite,low,20,20,1.0,253.0,5060.0,weekend
2025-02-03,standard,low,80,59,0.74,85.75,5059.01,weekday
2025-02-03,deluxe,low,40,23,0.59,133.43,3068.92,weekday
2025-02-03,suite,low,20,14,0.72,234.23,3279.17,weekday
2025-02-04,standard,low,80,58,0.73,85.41,4953.96,weekday
2025-02-04,deluxe,low,40,26,0.67,136.5,3548.94,weekday
2025-02-04,suite,low,20,14,0.75,236.42,3309.91,weekday
2025-02-05,standard,low,80,65,0.82,87.71,5701.26,weekday
2025-02-05,deluxe,low,40,40,1.0,149.5,5980.0,weekday
2025-02-05,suite,low,20,15,0.79,239.26,3588.97,weekday
2025-02-06,standard,low,80,64,0.8,87.26,5584.69,weekday
2025-02-06,deluxe,low,40,30,0.76,140.14,4204.14,weekday
2025-02-06,suite,low,20,10,0.52,221.55,2215.46,weekday
2025-02-07,standard,low,80,61,0.77,86.39,5269.57,weekday
2025-02-07,deluxe,low,40,31,0.78,140.81,4365.16,weekday
2025-02-07,suite,low,20,20,1.0,253.0,5060.0,weekday
2025-02-08,standard,low,80,78,0.98,91.52,7138.63,weekend
2025-02-08,deluxe,low,40,40,1.0,149.5,5980.0,weekend
2025-02-08,suite,low,20,20,1.0,253.0,5060.0,weekend
2025-02-09,standard,low,80,65,0.82,87.57,5691.85,weekend
2025-02-09,deluxe,low,40,40,1.0,149.5,5980.0,weekend
2025-02-09,suite,low,20,20,1.0,253.0,5060.0,weekend
2025-02-10,standard,low,80,69,0.87,88.9,6134.29,weekday
2025-02-10,deluxe,low,40,26,0.65,135.96,3535.01,weekday
2025-02-10,suite,low,20,18,0.95,249.66,4493.9,weekday
2025-02-11,standard,low,80,47,0.59,82.15,3861.2,weekday
2025-02-11,deluxe,low,40,33,0.84,143.45,4733.71,weekday
2025-02-11,suite,low,20,20,1.0,253.0,5060.0,weekday
2025-02-12,standard,low,80,51,0.64,83.42,4254.38,weekday
2025-02-12,deluxe,low,40,27,0.7,137.68,3717.31,weekday
2025-02-12,suite,low,20,15,0.78,238.63,3579.46,weekday
2025-02-13,standard,low,80,56,0.7,84.92,4755.42,weekday
2025-02-13,deluxe,low,40,22,0.57,132.75,2920.6,weekday
2025-02-13,suite,low,20,15,0.78,238.37,3575.51,weekday
2025-02-14,standard,low,80,50,0.63,83.2,4159.91,weekday
2025-02-14,deluxe,low,40,33,0.83,142.88,4715.02,weekday
2025-02-14,suite,low,20,13,0.65,230.0,2990.06,weekday
2025-02-15,standard,low,80,80,1.0,92.0,7360.0,weekend
2025-02-15,deluxe,low,40,35,0.88,144.83,5069.14,weekend
2025-02-15,suite,low,20,19,0.96,250.24,4754.52,weekend
2025-02-16,standard,low,80,80,1.0,92.0,7360.0,weekend
2025-02-16,deluxe,low,40,32,0.8,141.89,4540.38,weekend
2025-02-16,suite,low,20,20,1.0,253.0,5060.0,weekend
2025-02-17,standard,low,80,74,0.94,90.49,6696.36,weekday
2025-02-17,deluxe,low,40,22,0.56,132.47,2914.35,weekday
2025-02-17,suite,low,20,15,0.79,239.35,3590.25,weekday
2025-02-18,standard,low,80,64,0.8,87.27,5585.15,weekday
2025-02-18,deluxe,low,40,34,0.87,144.42,4910.31,weekday
2025-02-18,suite,low,20,12,0.61,227.32,2727.8,weekday
2025-02-19,standard,low,80,48,0.6,82.4,3955.37,weekday
2025-02-19,deluxe,low,40,33,0.84,143.12,4723.0,weekday
2025-02-19,suite,low,20,16,0.81,240.3,3844.81,weekday
2025-02-20,standard,low,80,64,0.8,87.24,5583.3,weekday
2025-02-20,deluxe,low,40,32,0.81,142.24,4551.79,weekday
2025-02-20,suite,low,20,13,0.68,232.03,3016.4,weekday
2025-02-21,standard,low,80,63,0.8,87.18,5492.52,weekday
2025-02-21,deluxe,low,40,32,0.81,141.98,4543.24,weekday
2025-02-21,suite,low,20,13,0.68,231.74,3012.62,weekday
2025-02-22,standard,low,80,80,1.0,92.0,7360.0,weekend
2025-02-22,deluxe,low,40,40,1.0,149.5,5980.0,weekend
2025-02-22,suite,low,20,16,0.81,240.56,3848.91,weekend
2025-02-23,standard,low,80,80,1.0,92.0,7360.0,weekend
2025-02-23,deluxe,low,40,33,0.85,143.57,4737.9,weekend
2025-02-23,suite,low,20,20,1.0,253.0,5060.0,weekend
2025-02-24,standard,low,80,73,0.92,90.03,6572.49,weekday
2025-02-24,deluxe,low,40,26,0.66,136.41,3546.55,weekday
2025-02-24,suite,low,20,17,0.89,245.94,4181.01,weekday
2025-02-25,standard,low,80,65,0.82,87.74,5703.01,weekday
2025-02-25,deluxe,low,40,34,0.87,144.62,4917.16,weekday
2025-02-25,suite,low,20,20,1.0,253.0,5060.0,weekday
2025-02-26,standard,low,80,59,0.74,85.71,5057.05,weekday
2025-02-26,deluxe,low,40,26,0.67,136.74,3555.25,weekday
2025-02-26,suite,low,20,13,0.66,230.26,2993.35,weekday
2025-02-27,standard,low,80,53,0.66,83.96,4449.72,weekday
2025-02-27,deluxe,low,40,30,0.76,140.12,4203.75,weekday
2025-02-27,suite,low,20,16,0.81,240.67,3850.79,weekday
2025-02-28,standard,low,80,64,0.8,87.32,5588.46,weekday
2025-02-28,deluxe,low,40,35,0.88,144.65,5062.68,weekday
2025-02-28,suite,low,20,15,0.77,237.9,3568.46,weekday
2025-03-01,standard,low,80,80,1.0,92.0,7360.0,weekend
2025-03-01,deluxe,low,40,38,0.97,148.25,5633.34,weekend
2025-03-01,suite,low,20,20,1.0,253.0,5060.0,weekend
2025-03-02,standard,low,80,80,1.0,92.0,7360.0,weekend
2025-03-02,deluxe,low,40,34,0.87,144.35,4907.78,weekend
2025-03-02,suite,low,20,16,0.83,241.9,3870.37,weekend
2025-03-03,standard,low,80,66,0.83,87.95,5804.9,weekday
2025-03-03,deluxe,low,40,29,0.74,139.39,4042.39,weekday
2025-03-03,suite,low,20,17,0.86,243.83,4145.12,weekday
2025-03-04,standard,low,80,66,0.83,87.92,5803.03,weekday
2025-03-04,deluxe,low,40,30,0.76,140.15,4204.39,weekday
2025-03-04,suite,low,20,13,0.66,230.62,2998.05,weekday
2025-03-05,standard,low,80,46,0.58,81.81,3763.04,weekday
2025-03-05,deluxe,low,40,28,0.71,138.28,3871.76,weekday
2025-03-05,suite,low,20,17,0.88,245.04,4165.61,weekday
2025-03-06,standard,low,80,63,0.8,87.13,5489.0,weekday
2025-03-06,deluxe,low,40,24,0.61,134.28,3222.71,weekday
2025-03-06,suite,low,20,15,0.79,239.25,3588.79,weekday
2025-03-07,standard,low,80,65,0.82,87.65,5697.51,weekday
2025-03-07,deluxe,low,40,26,0.66,136.09,3538.33,weekday
2025-03-07,suite,low,20,15,0.79,239.09,3586.32,weekday
2025-03-08,standard,low,80,80,1.0,92.0,7360.0,weekend
2025-03-08,deluxe,low,40,32,0.82,142.47,4558.89,weekend
2025-03-08,suite,low,20,20,1.0,253.0,5060.0,weekend
2025-03-09,standard,low,80,80,1.0,92.0,7360.0,weekend
2025-03-09,deluxe,low,40,40,1.0,149.5,5980.0,weekend
2025-03-09,suite,low,20,20,1.0,253.0,5060.0,weekend
2025-03-10,standard,low,80,47,0.59,82.23,3864.69,weekday
2025-03-10,deluxe,low,40,25,0.65,135.82,3395.49,weekday
2025-03-10,suite,low,20,16,0.84,242.15,3874.34,weekday
2025-03-11,standard,low,80,66,0.84,88.05,5811.26,weekday
2025-03-11,deluxe,low,40,33,0.84,143.09,4721.86,weekday
2025-03-11,suite,low,20,20,1.0,253.0,5060.0,weekday
2025-03-12,standard,low,80,67,0.84,88.23,5911.09,weekday
2025-03-12,deluxe,low,40,36,0.92,146.19,5262.85,weekday
2025-03-12,suite,low,20,17,0.89,245.86,4179.66,weekday
2025-03-13,standard,low,80,68,0.85,88.47,6016.16,weekday
2025-03-13,deluxe,low,40,29,0.73,138.93,4029.07,weekday
2025-03-13,suite,low,20,17,0.87,244.21,4151.59,weekday
2025-03-14,standard,low,80,53,0.67,84.09,4456.73,weekday
2025-03-14,deluxe,low,40,29,0.74,139.33,4040.45,weekday
2025-03-14,suite,low,20,14,0.71,233.68,3271.5,weekday
2025-03-15,standard,low,80,80,1.0,92.0,7360.0,weekend
2025-03-15,deluxe,low,40,40,1.0,149.5,5980.0,weekend
2025-03-15,suite,low,20,13,0.7,233.03,3029.37,weekend
2025-03-16,standard,low,80,80,1.0,92.0,7360.0,weekend
2025-03-16,deluxe,low,40,29,0.74,139.37,4041.84,weekend
2025-03-16,suite,low,20,18,0.93,248.57,4474.24,weekend
2025-03-17,standard,low,80,72,0.91,89.82,6467.02,weekday
2025-03-17,deluxe,low,40,31,0.78,140.83,4365.79,weekday
2025-03-17,suite,low,20,12,0.63,228.66,2743.97,weekday
2025-03-18,standard,low,80,54,0.68,84.27,4550.38,weekday
2025-03-18,deluxe,low,40,34,0.86,143.91,4892.93,weekday
2025-03-18,suite,low,20,13,0.68,231.6,3010.86,weekday
2025-03-19,standard,low,80,63,0.8,87.13,5489.46,weekday
2025-03-19,deluxe,low,40,31,0.78,140.74,4362.89,weekday
2025-03-19,suite,low,20,13,0.69,232.27,3019.53,weekday
2025-03-20,standard,low,80,80,1.0,92.0,7360.0,weekday
2025-03-20,deluxe,low,40,34,0.85,143.68,4885.16,weekday
2025-03-20,suite,low,20,10,0.51,220.65,2206.45,weekday
2025-03-21,standard,low,80,63,0.79,87.04,5483.64,weekday
2025-03-21,deluxe,low,40,27,0.68,137.2,3704.41,weekday
2025-03-21,suite,low,20,17,0.88,245.0,4165.04,weekday
2025-03-22,standard,low,80,70,0.88,89.09,6236.32,weekend
2025-03-22,deluxe,low,40,39,0.99,149.23,5820.06,weekend
2025-03-22,suite,low,20,20,1.0,253.0,5060.0,weekend
2025-03-23,standard,low,80,80,1.0,92.0,7360.0,weekend
2025-03-23,deluxe,low,40,32,0.81,142.09,4546.82,weekend
2025-03-23,suite,low,20,19,0.96,250.1,4751.89,weekend
2025-03-24,standard,low,80,56,0.71,85.01,4760.34,weekday
2025-03-24,deluxe,low,40,27,0.69,137.24,3705.55,weekday
2025-03-24,suite,low,20,19,1.0,252.73,4801.88,weekday
2025-03-25,standard,low,80,65,0.82,87.71,5701.44,weekday
2025-03-25,deluxe,low,40,24,0.61,134.2,3220.89,weekday
2025-03-25,suite,low,20,17,0.89,245.56,4174.46,weekday
2025-03-26,standard,low,80,80,1.0,92.0,7360.0,weekday
2025-03-26,deluxe,low,40,36,0.9,145.67,5244.29,weekday
2025-03-26,suite,low,20,11,0.57,224.93,2474.19,weekday
2025-03-27,standard,low,80,56,0.71,84.98,4758.74,weekday
2025-03-27,deluxe,low,40,37,0.93,146.85,5433.35,weekday
2025-03-27,suite,low,20,13,0.68,231.8,3013.36,weekday
2025-03-28,standard,low,80,66,0.83,87.83,5797.05,weekday
2025-03-28,deluxe,low,40,34,0.87,144.39,4909.09,weekday
2025-03-28,suite,low,20,13,0.65,229.94,2989.23,weekday
2025-03-29,standard,low,80,80,1.0,92.0,7360.0,weekend
2025-03-29,deluxe,low,40,18,0.47,128.66,2315.81,weekend
2025-03-29,suite,low,20,16,0.84,242.42,3878.65,weekend
2025-03-30,standard,low,80,77,0.97,91.28,7028.34,weekend
2025-03-30,deluxe,low,40,32,0.8,141.78,4536.82,weekend
2025-03-30,suite,low,20,20,1.0,253.0,5060.0,weekend
2025-03-31,standard,low,80,46,0.59,82.07,3775.04,weekday
2025-03-31,deluxe,low,40,28,0.71,138.31,3872.67,weekday
2025-03-31,suite,low,20,15,0.79,238.89,3583.4,weekday
2025-04-01,standard,mid,80,80,1.0,92.0,7360.0,weekday
2025-04-01,deluxe,mid,40,28,0.72,138.4,3875.25,weekday
2025-04-01,suite,mid,20,20,1.0,253.0,5060.0,weekday
2025-04-02,standard,mid,80,75,0.94,90.61,6795.79,weekday
2025-04-02,deluxe,mid,40,31,0.79,141.18,4376.56,weekday
2025-04-02,suite,mid,20,20,1.0,253.0,5060.0,weekday
2025-04-03,standard,mid,80,77,0.97,91.32,7031.71,weekday
2025-04-03,deluxe,mid,40,33,0.85,143.51,4735.84,weekday
2025-04-03,suite,mid,20,19,0.95,249.8,4746.11,weekday
2025-04-04,standard,mid,80,70,0.88,89.12,6238.57,weekday
2025-04-04,deluxe,mid,40,38,0.96,147.87,5619.19,weekday
2025-04-04,suite,mid,20,20,1.0,253.0,5060.0,weekday
2025-04-05,standard,mid,80,80,1.0,92.0,7360.0,weekend
2025-04-05,deluxe,mid,40,39,0.98,148.81,5803.43,weekend
2025-04-05,suite,mid,20,20,1.0,253.0,5060.0,weekend
2025-04-06,standard,mid,80,66,0.83,88.04,5810.45,weekend
2025-04-06,deluxe,mid,40,40,1.0,149.5,5980.0,weekend
2025-04-06,suite,mid,20,20,1.0,253.0,5060.0,weekend
2025-04-07,standard,mid,80,78,0.98,91.63,7147.07,weekday
2025-04-07,deluxe,mid,40,33,0.84,143.37,4731.3,weekday
2025-04-07,suite,mid,20,18,0.91,246.92,4444.56,weekday
2025-04-08,standard,mid,80,69,0.86,88.72,6121.5,weekday
2025-04-08,deluxe,mid,40,33,0.85,143.58,4738.03,weekday
2025-04-08,suite,mid,20,20,1.0,253.0,5060.0,weekday
2025-04-09,standard,mid,80,79,1.0,91.92,7261.29,weekday
2025-04-09,deluxe,mid,40,33,0.83,142.94,4717.14,weekday
2025-04-09,suite,mid,20,20,1.0,253.0,5060.0,weekday
2025-04-10,standard,mid,80,79,0.99,91.73,7246.52,weekday
2025-04-10,deluxe,mid,40,40,1.0,149.5,5980.0,weekday
2025-04-10,suite,mid,20,20,1.0,253.0,5060.0,weekday
2025-04-11,standard,mid,80,64,0.81,87.45,5597.01,weekday
2025-04-11,deluxe,mid,40,34,0.85,143.75,4887.67,weekday
2025-04-11,suite,mid,20,20,1.0,253.0,5060.0,weekday
2025-04-12,standard,mid,80,80,1.0,92.0,7360.0,weekend
2025-04-12,deluxe,mid,40,40,1.0,149.5,5980.0,weekend
2025-04-12,suite,mid,20,20,1.0,253.0,5060.0,weekend
2025-04-13,standard,mid,80,80,1.0,92.0,7360.0,weekend
2025-04-13,deluxe,mid,40,40,1.0,149.5,5980.0,weekend
2025-04-13,suite,mid,20,20,1.0,253.0,5060.0,weekend
2025-04-14,standard,mid,80,72,0.91,89.81,6466.42,weekday
2025-04-14,deluxe,mid,40,36,0.91,145.85,5250.56,weekday
2025-04-14,suite,mid,20,20,1.0,253.0,5060.0,weekday
2025-04-15,standard,mid,80,80,1.0,92.0,7360.0,weekday
2025-04-15,deluxe,mid,40,40,1.0,149.5,5980.0,weekday
2025-04-15,suite,mid,20,20,1.0,253.0,5060.0,weekday
2025-04-16,standard,mid,80,75,0.94,90.65,6798.83,weekday
2025-04-16,deluxe,mid,40,40,1.0,149.5,5980.0,weekday
2025-04-16,suite,mid,20,17,0.89,245.86,4179.67,weekday
2025-04-17,standard,mid,80,79,0.99,91.79,7251.53,weekday
2025-04-17,deluxe,mid,40,36,0.92,146.38,5269.82,weekday
2025-04-17,suite,mid,20,19,0.96,250.08,4751.45,weekday
2025-04-18,standard,mid,80,80,1.0,92.0,7360.0,weekday
2025-04-18,deluxe,mid,40,32,0.81,142.18,4549.68,weekday
2025-04-18,suite,mid,20,20,1.0,253.0,5060.0,weekday
2025-04-19,standard,mid,80,80,1.0,92.0,7360.0,weekend
2025-04-19,deluxe,mid,40,39,0.99,149.0,5810.84,weekend
2025-04-19,suite,mid,20,20,1.0,253.0,5060.0,weekend
2025-04-20,standard,mid,80,80,1.0,92.0,7360.0,weekend
2025-04-20,deluxe,mid,40,40,1.0,149.5,5980.0,weekend
2025-04-20,suite,mid,20,20,1.0,253.0,5060.0,weekend
2025-04-21,standard,mid,80,75,0.94,90.53,6789.44,weekday
2025-04-21,deluxe,mid,40,31,0.8,141.69,4392.53,weekday
2025-04-21,suite,mid,20,19,0.95,249.86,4747.29,weekday
2025-04-22,standard,mid,80,66,0.83,88.02,5809.62,weekday
2025-04-22,deluxe,mid,40,40,1.0,149.5,5980.0,weekday
2025-04-22,suite,mid,20,18,0.92,247.55,4455.93,weekday
2025-04-23,standard,mid,80,64,0.81,87.47,5597.85,weekday
2025-04-23,deluxe,mid,40,35,0.89,145.21,5082.52,weekday
2025-04-23,suite,mid,20,20,1.0,253.0,5060.0,weekday
2025-04-24,standard,mid,80,68,0.85,88.45,6014.69,weekday
2025-04-24,deluxe,mid,40,32,0.81,142.15,4548.9,weekday
2025-04-24,suite,mid,20,19,0.98,251.59,4780.29,weekday
2025-04-25,standard,mid,80,78,0.98,91.49,7136.5,weekday
2025-04-25,deluxe,mid,40,34,0.86,144.08,4898.73,weekday
2025-04-25,suite,mid,20,17,0.87,244.2,4151.4,weekday
2025-04-26,standard,mid,80,80,1.0,92.0,7360.0,weekend
2025-04-26,deluxe,mid,40,37,0.94,147.11,5443.24,weekend
2025-04-26,suite,mid,20,18,0.95,249.52,4491.29,weekend
2025-04-27,standard,mid,80,80,1.0,92.0,7360.0,weekend
2025-04-27,deluxe,mid,40,40,1.0,149.5,5980.0,weekend
2025-04-27,suite,mid,20,20,1.0,253.0,5060.0,weekend
2025-04-28,standard,mid,80,80,1.0,92.0,7360.0,weekday
2025-04-28,deluxe,mid,40,40,1.0,149.5,5980.0,weekday
2025-04-28,suite,mid,20,18,0.92,247.42,4453.53,weekday
2025-04-29,standard,mid,80,75,0.94,90.5,6787.53,weekday
2025-04-29,deluxe,mid,40,31,0.78,141.05,4372.57,weekday
2025-04-29,suite,mid,20,18,0.94,248.88,4479.87,weekday
2025-04-30,standard,mid,80,71,0.9,89.49,6353.51,weekday
2025-04-30,deluxe,mid,40,39,0.99,149.15,5816.94,weekday
2025-04-30,suite,mid,20,16,0.81,240.51,3848.24,weekday
2025-05-01,standard,mid,80,80,1.0,92.0,7360.0,weekday
2025-05-01,deluxe,mid,40,40,1.0,149.5,5980.0,weekday
2025-05-01,suite,mid,20,18,0.92,247.95,4463.06,weekday
2025-05-02,standard,mid,80,80,1.0,92.0,7360.0,weekday
2025-05-02,deluxe,mid,40,40,1.0,149.5,5980.0,weekday
2025-05-02,suite,mid,20,17,0.88,244.92,4163.68,weekday
2025-05-03,standard,mid,80,80,1.0,92.0,7360.0,weekend
2025-05-03,deluxe,mid,40,40,1.0,149.5,5980.0,weekend
2025-05-03,suite,mid,20,20,1.0,253.0,5060.0,weekend
2025-05-04,standard,mid,80,80,1.0,92.0,7360.0,weekend
2025-05-04,deluxe,mid,40,40,1.0,149.5,5980.0,weekend
2025-05-04,suite,mid,20,20,1.0,253.0,5060.0,weekend
2025-05-05,standard,mid,80,80,1.0,92.0,7360.0,weekday
2025-05-05,deluxe,mid,40,40,1.0,149.5,5980.0,weekday
2025-05-05,suite,mid,20,20,1.0,253.0,5060.0,weekday
2025-05-06,standard,mid,80,65,0.82,87.69,5699.54,weekday
2025-05-06,deluxe,mid,40,40,1.0,149.5,5980.0,weekday
2025-05-06,suite,mid,20,19,0.97,250.97,4768.43,weekday
2025-05-07,standard,mid,80,80,1.0,92.0,7360.0,weekday
2025-05-07,deluxe,mid,40,32,0.81,142.24,4551.62,weekday
2025-05-07,suite,mid,20,16,0.81,240.39,3846.17,weekday
2025-05-08,standard,mid,80,67,0.85,88.32,5917.24,weekday
2025-05-08,deluxe,mid,40,24,0.61,134.2,3220.69,weekday
2025-05-08,suite,mid,20,17,0.86,243.63,4141.77,weekday
2025-05-09,standard,mid,80,65,0.82,87.72,5701.55,weekday
2025-05-09,deluxe,mid,40,38,0.96,148.1,5627.76,weekday
2025-05-09,suite,mid,20,19,0.99,252.61,4799.56,weekday
2025-05-10,standard,mid,80,80,1.0,92.0,7360.0,weekend
2025-05-10,deluxe,mid,40,40,1.0,149.5,5980.0,weekend
2025-05-10,suite,mid,20,20,1.0,253.0,5060.0,weekend
2025-05-11,standard,mid,80,80,1.0,92.0,7360.0,weekend
2025-05-11,deluxe,mid,40,40,1.0,149.5,5980.0,weekend
2025-05-11,suite,mid,20,19,0.97,250.7,4763.36,weekend
2025-05-12,standard,mid,80,80,1.0,92.0,7360.0,weekday
2025-05-12,deluxe,mid,40,40,1.0,149.5,5980.0,weekday
2025-05-12,suite,mid,20,17,0.87,244.22,4151.73,weekday
2025-05-13,standard,mid,80,53,0.67,84.13,4458.74,weekday
2025-05-13,deluxe,mid,40,40,1.0,149.5,5980.0,weekday
2025-05-13,suite,mid,20,18,0.92,247.89,4461.98,weekday
2025-05-14,standard,mid,80,80,1.0,92.0,7360.0,weekday
2025-05-14,deluxe,mid,40,27,0.69,137.43,3710.67,weekday
2025-05-14,suite,mid,20,16,0.85,242.87,3885.95,weekday
2025-05-15,standard,mid,80,75,0.94,90.59,6794.38,weekday
2025-05-15,deluxe,mid,40,37,0.95,147.47,5456.27,weekday
2025-05-15,suite,mid,20,17,0.87,244.42,4155.09,weekday
2025-05-16,standard,mid,80,80,1.0,92.0,7360.0,weekday
2025-05-16,deluxe,mid,40,30,0.77,140.65,4219.59,weekday
2025-05-16,suite,mid,20,18,0.92,247.6,4456.8,weekday
2025-05-17,standard,mid,80,80,1.0,92.0,7360.0,weekend
